Job Title,Location,Salary,Job Type,Job URL
"Team Manager, Commercial Banking Centre - Menara BHL MY",Kuala Lumpur,Undisclosed,Full-Time,https://my.hiredly.com/jobs/jobs-malaysia-cimb-job-team-manager-commercial-banking-centre-menara-bhl-my
Human Resources Intern,Selangor,Undisclosed,Internship,https://my.hiredly.com/jobs/jobs-malaysia-mega-fortris-sdn-bhd-job-human-resources-intern
"Assistant Manager, Marketing & Communications ",Selangor,RM 4000 - RM 5000,Full-Time,https://my.hiredly.com/jobs/jobs-malaysia-poney-garments-sdn-bhd-job-assistant-manager-marketing-communications
Marketing and Communications ,Selangor,Undisclosed,Full-Time,https://my.hiredly.com/jobs/jobs-malaysia-purple-apple-enterprise-job-marketing-and-communications
Operation Manger,Kuala Lumpur,Undisclosed,Internship,https://my.hiredly.com/jobs/jobs-malaysia-j-art-education-sdn-bhd-job-operation-manger
Human Resource Internship ,Selangor,N/A,N/A,https://my.hiredly.com/jobs/jobs-malaysia-padini-holdings-bhd-job-human-resource-internship
International Sales Executive,Selangor,RM 3000 - RM 3500,Full-Time,https://my.hiredly.com/jobs/jobs-malaysia-pensonic-holdings-berhad-job-international-sales-executive
Business Development Specialist,Penang,RM 3000 - RM 4500,Full-Time,https://my.hiredly.com/jobs/jobs-malaysia-cadvision-systems-sdn-bhd-job-business-development-specialist
Business Development Admin Officer (Open to fresh graduate),Selangor,Undisclosed,Full-Time,https://my.hiredly.com/jobs/jobs-malaysia-eco-shop-marketing-sdn-bhd-job-business-development-admin-officer-open-to-fresh-graduate
Customer Service Executive (Mandarin & Cantonese),Kuala Lumpur,RM 3500 - RM 5000,Full-Time,https://my.hiredly.com/jobs/jobs-malaysia-shangri-la-shared-services-sdn-bhd-job-customer-service-executive-mandarin-cantonese-0
Indoor Sales || Logistic Field  (Mandarin),Selangor,RM 4000 - RM 6000,Full-Time,https://my.hiredly.com/jobs/jobs-malaysia-brain-hunters-sdn-bhd-job-indoor-sales-logistic-field-mandarin
3D Designer/ Event Stylist,Selangor,Undisclosed,Full-Time,https://my.hiredly.com/jobs/jobs-malaysia-pathway-events-design-sdn-bhd-job-3d-designer-event-stylist
